Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Team,Player Name,Image URL
13,8,2,52,17*,8.67,41,126.82,0,0,5,2,PBKS,Harpreet Brar,https://scores.iplt20.com/ipl/playerimages/Harpreet Brar.png
5,4,1,49,23,16.33,43,113.95,0,0,3,1,DC,Ripal Patel,https://scores.iplt20.com/ipl/playerimages/Ripal Patel.png
10,6,2,42,20*,10.50,39,107.69,0,0,3,1,RCB,Shahbaz Ahmed,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png
14,6,3,42,27,14.00,47,89.36,0,0,4,0,SRH,Bhuvneshwar Kumar,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar Kumar.png
5,5,0,39,25,7.80,22,177.27,0,0,2,4,SRH,Glenn Phillips,https://scores.iplt20.com/ipl/playerimages/Glenn Phillips.png
8,6,3,39,17*,13.00,43,90.69,0,0,4,0,SRH,Marco Jansen,https://scores.iplt20.com/ipl/playerimages/Marco Jansen.png
10,7,4,37,23*,12.33,29,127.58,0,0,6,0,DC,Anrich Nortje,https://scores.iplt20.com/ipl/playerimages/Anrich Nortje.png
3,3,0,37,30,12.33,31,119.35,0,0,2,2,MI,Vishnu Vinod,https://scores.iplt20.com/ipl/playerimages/Vishnu Vinod.png
5,4,0,35,19,8.75,29,120.68,0,0,1,2,RCB,Suyash S Prabhudessai,https://scores.iplt20.com/ipl/playerimages/Suyash S Prabhudessai.png
4,3,3,35,20*,-,32,109.37,0,0,4,0,RCB,David Willey,https://scores.iplt20.com/ipl/playerimages/David Willey.png
8,5,3,33,12*,16.50,28,117.85,0,0,3,0,RCB,Wanindu Hasaranga,https://scores.iplt20.com/ipl/playerimages/Wanindu Hasaranga.png
4,4,0,33,20,8.25,31,106.45,0,0,1,2,DC,Abishek Porel,https://scores.iplt20.com/ipl/playerimages/Abishek Porel.png
14,10,8,31,10*,15.50,48,64.58,0,0,2,0,DC,Kuldeep Yadav,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png
3,3,1,26,17,13.00,26,100.00,0,0,2,1,GT,Dasun Shanaka,https://scores.iplt20.com/ipl/playerimages/Dasun Shanaka.png
16,4,2,25,18,12.50,22,113.63,0,0,1,1,MI,Piyush Chawla,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png
2,2,0,25,20,12.50,31,80.64,0,0,2,0,MI,Tristan Stubbs,https://scores.iplt20.com/ipl/playerimages/Tristan Stubbs.png
8,3,2,23,18*,23.00,17,135.29,0,0,4,0,MI,Hrithik Shokeen,https://scores.iplt20.com/ipl/playerimages/Hrithik Shokeen.png
4,4,2,23,13*,11.50,19,121.05,0,0,3,0,KKR,Anukul Roy,https://scores.iplt20.com/ipl/playerimages/Anukul Roy.png
2,2,0,22,18,11.00,16,137.50,0,0,2,1,SRH,Adil Rashid,https://scores.iplt20.com/ipl/playerimages/Adil Rashid.png
2,2,0,22,12,11.00,23,95.65,0,0,1,0,DC,Priyam Garg,https://scores.iplt20.com/ipl/playerimages/Priyam Garg.png
3,3,2,21,12*,21.00,11,190.90,0,0,0,3,KKR,David Wiese,https://scores.iplt20.com/ipl/playerimages/David Wiese.png
10,3,3,21,18*,-,13,161.53,0,0,2,1,SRH,Mayank Markande,https://scores.iplt20.com/ipl/playerimages/Mayank Markande.png
